reviewer_id,review_role,review_content,seller_code,seller_name
반짝임설레임,구매자,청소기 잘 받았어요. 포장도 탄단히 해서 잘 보내주셨어 감사해요. 잘 사용할께요,1048300,diartin
고창메이,구매자,좋은 물건 싸게 잘샀네요 만족합니다.,1048300,diartin
중고나라#6859346,구매자,만족,1048300,diartin
먹먹먹,구매자,감사합니다 좋은하루 돼세요,1048300,diartin
98904826,구매자,배송도 되게빠르시고 물품상태도 좋습니다,1048316,스타바이크
checkit,구매자,감사합니다 상태 이상 없어보입니다 좋은 거래 감사하고 새해 복 많이 받으세요~!,1049536,수봉엄마
탄탄대로짱,구매자,큰 배려 고맙고 따뜻한 마음 감사드려요,1049536,수봉엄마
중고나라#9860567,구매자,좋은 물건 잘보내 주심에 감사드립니다. 금일 오후에 받았습니다. 사용은 안해봐서 잘 모르겠지만 잘될거라고 봅니다. 복 많이 받으세요,1049536,수봉엄마
빠쓰꾸,구매자,"젤도 1개 더 보내주시고, 택배비도 해결해주셔서 거래가 참 좋았습니다. 또 구매하게 되면 연락드리겠습니다. 항상 건강하고, 행복하세요!!!",1049536,수봉엄마
현주퐁센트롱,구매자,좋은제품 너무 감사합니다^^ ㅎㅎ 설명서 정독하고 잘사용해볼께요~~,1049536,수봉엄마
중고나라#8700424,구매자,상품너무 상태좋고 만족합니다~~^^,1049536,수봉엄마
중고나라#8364369,판매자,친절하시고 거래 잘 마쳤습니다,1049983,용케이
거래즉시당일발송,구매자,물건 잘 받았습니다 빠른 배송 정말 감사드립니다 👍,1049983,용케이
중고나라#10926010,구매자,새제품 좋은가격에 판매해주셔서 감사합니다. 거래 매너도 너무 좋으시고 핏도 맞는지 봐주셔서 감사했습니다!,1053225,김엔또니
tjd33,구매자,잘받았습니다,1056622,25공감
중고나라#11024166,구매자,새 옷 싸게 주셔서 감사합니다 좋은나날들 되셔용..^^거짓없는 쿨거래.ㅎㅎ,1056622,25공감
중고나라#9383602,구매자,상품 처리가 일사천리입니다. 잘 신겠습니다. 고맙습니다.,1056622,25공감
중고나라#8970026,구매자,"포장상태와 옷 상태가 아주 양호했습니다. 옷을 착용한 결과 100사이즈인데 살짝 작은 느낌이 났습니다. 아주 불편한 정도는 아니어서 잘 입을 수 있을것 같아요. 그리고 두께가 두툼하여 한겨울에도 따뜻하게 입을 수 있어서 맘에 듭니다. 나중 구매하고자 하는 옷이 있다면 이곳에서 구매를 하도록 하겠습니다, 많이 파세요",1056622,25공감
고은산,구매자,필요한 물품을 손쉽게 구매하여 좋았습니다.,1056622,25공감
돌아갈수없다,구매자,가격대비가성비 좋아요 많이 파세요,1056622,25공감
발품1,구매자,잘 사용할게요,1056622,25공감
이초랑,구매자,좋은물건 싸게 주셔서 감사합니다,1056622,25공감
중고나라#7162921,구매자,가격대비 물건이 너무 좋아요,1056622,25공감
rodu,구매자,"배송도 빠르고, 상품도 정확하게 잘 도착했습니다! 감사합니다!",1056622,25공감
프라닥슈,구매자,상품상태가 너무 좋네요 감사합니다,1057482,니취팔러마
중고나라#10816318,구매자,상점 이름처럼 거래하기가 따봉 이에요 감사합니다 ^^,1057789,람머스따봉
오래된서랍장,구매자,친절히 이것저것 챙겨주시고 배송도 빠르게 해주셔서 감사합니다.,1057789,람머스따봉
봉맘0904,구매자,새거 같네요 잘쓸게요 감사합니다,1058663,하트러브
ghanzi00,구매자,매우 만족합니다~^^,1058663,하트러브
lei7,판매자,쿨거래 감사합니다. 잘 사용하시기 바랍니다.,1059138,논산중고
중고나라#10247334,구매자,새상품 공홈보다 저렴히 구매할수 있어서 좋았어요 배송도 우체국택배로 안전하게 도착하였습니다 감사합니다,1060706,하얀파팡
queenant,구매자,"친절하고 부드러운 설명에 꼼꼼함까지, 저는 생각지 못했던 점까지 세심하게 챙겨주셨어요!",1060706,하얀파팡
아가들잡으러왔다,구매자,답장도 빨리 주시고 좋았습니다ㅎㅎ,1061115,pow3030
중고나라#10476881,구매자,감사합니다.잘 쓸께요^^,1065728,모오오
중고나라#8918829,구매자,응답도 배송도 빠르고 포장도 엄청 꼼꼼하게 해주셨어요 물건도 설명한 내용 그대로구요 손상 없이 상태도 매우 좋습니다 그리고 전 파운데이션을 구매했는데 완전 새상품 파우더도 무려 본품을 보내주셨어요 감사히 잘 쓰겠습니다 감사해요!,1065728,모오오
중고나라#8659572,구매자,"상품 너무 잘받았습니다. 덤으로도 너무 좋은 상품들, 그것도 사용기한 넉넉한걸로 주셔서 감사해요. 샤넬 더스트백에 예쁜 완충제까지 넣어주신 센스도 너무 감사하네요. 단골 등록해놓고 또 마음에 드는거 있음 구매할께요. 좋은 거래였습니다 ^^",1065728,모오오
좋은인상을주는운석비,구매자,감사합니다,1065728,모오오
누리딩딩,구매자,잘 도착했고 핸드크림도 고맙습니다 ~,1065728,모오오
hyuns998,구매자,감사합니다 😊,1065728,모오오
중고나라#10653349,구매자,거의 새제품에 가까운 상태였는데 넘 착한 가격에 구매했어요. 귀여운 선물들까지 넣어서 엄청 깔끔하고 정성스럽게 포장해 보내주셨어요. 예쁘게 잘 쓰겠습니다. 미리 새해 복 많이 받으세요^^,1065728,모오오
중고나라#7420964,구매자,색상 너무 예뻐요 :) 좋은 제품 좋은 가격에 판매해주셔서 감사합니다😄,1065728,모오오
중고나라#8186109,구매자,감사합니다🤍♥️,1065728,모오오
중고나라#9007968,구매자,좋은 제품. 좋은 가격. 좋은 판매자.,1065728,모오오
중고나라#7501607,구매자,"상품이 새거처럼 상태가 좋아요, 택배도 빠르고 포장도 꼼꼼합니다,",1065862,대치동가위손
소여찡,구매자,좋은제품 감사합니다 대만족합니다,1065862,대치동가위손
ultrav,구매자,빠른 배송. 친절한 답변 감사합니다. 사업 번창하셔유~,1065862,대치동가위손
맑은돌,구매자,고맙습니다. 잘 받았습니다. 이쁘게 잘 입을게요^^,1065862,대치동가위손
단탱탱이,구매자,박스 열면서 기분이 너무 좋았어요 감사합니다 이쁘게 잘 입을게요 좋은하루되세요 😊,1066410,SM시크릿
핑크가조아,구매자,옷 관리도 너무 깨끗하게 잘 해주셨고 친절하게 대해주셨어요 예쁜 옷 싸게 팔아주셔서 감사합니다,1066410,SM시크릿
조니자니,구매자,잘받았습니다 맘에들어용 ㅎ,1066410,SM시크릿
이많은옷어쩔꺼야,구매자,새옷좋아여 간식도 보내주신 ㅎㅎ 감사해요,1066410,SM시크릿
Atlk,판매자,거래 고맙습니다. 잘 사용하셨으면 좋겠습니다.,1067333,heyya234
scoh,구매자,조은 물건잘사용 하겠습니다,1068388,대죄
다라닷다,판매자,빠른 거래 감사합니다 !,1072571,나고야즈키
초록버드나무,구매자,답변도 빠르고 친절하세요. 제가 예전에 중고나라 사기당한 적이 있다고 해서 안전결제도 흔쾌히 받아주셨어요! 키링 너무 예쁘고 잘 쓸게요^_^,1073583,queensflow
꼬마옥,구매자,매너정말좋으십니다^^,1073839,만족감사
bn6772,구매자,배송도 빨랐고 제품도 이상없이 잘받아서 만족합니다^^,1073839,만족감사
명석한절경카닐리언,구매자,너무 늦었네용ㅠㅠ 너무 조아요,1073839,만족감사
아이폰부품추출백프로,구매자,완젼 만족해여,1073839,만족감사
schg00,구매자,너무 친정하셨어요~~~,1073839,만족감사
학똥치,구매자,잘쓰겟습니다,1073839,만족감사
아이폰부품추출백프로,구매자,좋아여,1073839,만족감사
아이폰부품추출백프로,구매자,친절하시네요 ^^,1073839,만족감사
푸르른푸르미,판매자,직접 와주셨어요! 좋은 거래 감사합니다,1074113,중고뮤지션
중고나라#9688886,구매자,좋은거래 감사합니다.^^,1074817,트루스타이트
깜순아빠님,판매자,쿨거래 감사합니다,1074817,트루스타이트
lj0778,구매자,매우 친절하시고 자세히 설명해 주십니다. 제품도 손상 안가게 꼼꼼하게 포장해 주시고요. 다음에 기회되면 또 거래하고 싶네요.,1074817,트루스타이트
암흑의루나,구매자,오늘 물건 받았습니다 작동 확인 하고 외관 다확인 했는데 좋네요!잘쓰겠습니다,1074817,트루스타이트
진이님85,판매자,친절하시고 매너가 좋으십니다,1074817,트루스타이트
아수카킴,구매자,좋은거래 감사합니다 ^^ 페이거래도 거부감없으시고.. 간만에 좋은판매자님 만나 좋은거래였습니다 :),1074817,트루스타이트
